,uf,gobernador,partido,ideologia,alineamiento,confianza,nota
1,AC,Mailza Assis,PP,Centroderecha,Cercano a Bolsonaro,media,Asumió tras renuncia de Gladson Cameli; coalición incluye al PL
2,AL,Paulo Dantas,MDB,Centro,Aliado de Lula,alta,Grupo de Renan Calheiros
3,AP,Clécio Luís,União Brasil,Centro,Aliado de Lula,alta,Candidato a reelección en alianza con el PT
4,AM,Roberto Cidade,União Brasil,Centro,Pragmático / indefinido,baja,Elegido indirectamente tras renuncia de gobernador y vice
5,BA,Jerônimo Rodrigues,PT,Centroizquierda,Aliado de Lula,alta,
6,CE,Elmano de Freitas,PT,Centroizquierda,Aliado de Lula,alta,
7,DF,Celina Leão,PP,Centroderecha,Cercano a Bolsonaro,alta,"Coalición con PL (Bia Kicis, Michelle Bolsonaro al Senado)"
8,ES,Ricardo Ferraço,MDB,Centro,Aliado de Lula,media,Heredero de Casagrande (PSB)
9,GO,Daniel Vilela,MDB,Centro,Cercano a Bolsonaro,alta,"Heredero de Ronaldo Caiado, candidato presidencial del PSD"
10,MA,Carlos Brandão,MDB,Centro,Pragmático / indefinido,baja,Rompió con el grupo de Flávio Dino; el PT compite contra su candidato
11,MT,Otaviano Pivetta,PP,Centroderecha,Pragmático / indefinido,baja,Asumió tras renuncia de Mauro Mendes
12,MS,Eduardo Riedel,PP,Centroderecha,Cercano a Bolsonaro,media,Electo en 2022 con apoyo de Bolsonaro
13,MG,Mateus Simões,PSD,Centroderecha,Cercano a Bolsonaro,media,"Heredero de Romeu Zema (Novo), candidato presidencial"
14,PA,Hana Ghassan,MDB,Centro,Aliado de Lula,alta,Heredera de Helder Barbalho
15,PB,Lucas Ribeiro,PP,Centroderecha,Aliado de Lula,alta,Candidato a reelección en alianza con el PT
16,PR,Ratinho Junior,PSD,Centroderecha,Cercano a Bolsonaro,media,El palanque de Flávio Bolsonaro en PR es Sergio Moro (PL)
17,PE,Raquel Lyra,PSD,Centroderecha,Pragmático / indefinido,media,"Compite contra João Campos (PSB), aliado de Lula"
18,PI,Rafael Fonteles,PT,Centroizquierda,Aliado de Lula,alta,
19,RJ,Ricardo Couto (interino),Sin partido,Sin partido,Pragmático / indefinido,alta,Presidente del TJ-RJ; ejerce desde la renuncia de Cláudio Castro
20,RN,Fátima Bezerra,PT,Centroizquierda,Aliado de Lula,alta,
21,RS,Eduardo Leite,PSD,Centroderecha,Pragmático / indefinido,media,Sin apoyo presidencial definido según Poder360 (jul/2026)
22,RO,Marcos Rocha,PSD,Centroderecha,Cercano a Bolsonaro,media,Histórico bolsonarista; su candidato compite contra el del PL
23,RR,Soldado Sampaio (interino),Republicanos,Derecha,Cercano a Bolsonaro,baja,Interino tras la casación de Denarium y Damião
24,SC,Jorginho Mello (licencia; ejerce Marilisa Boehm),PL,Derecha,Cercano a Bolsonaro,alta,
25,SP,Tarcísio de Freitas,Republicanos,Derecha,Cercano a Bolsonaro,alta,Exministro de Bolsonaro
26,SE,Fábio Mitidieri,PSD,Centroderecha,Aliado de Lula,alta,Candidato a reelección en alianza con el PT
27,TO,Wanderlei Barbosa,Republicanos,Derecha,Cercano a Bolsonaro,media,Apoya a Dorinha (União) en coalición con el PL
